catalog_number	name	basin	timestamp	lat_y	lon_x	max_wind_kts	min_cp_mb	sequence	fspeed_kts	is_landfall_point	rmax_nmi	gwaf
	MATTHEW		2016-10-06-09-00	24.2	-77.1	110.0	944.0	189	12.395975158295974	0	15	0.9
	MATTHEW		2016-10-06-10-00	24.333333333333332	-77.23333333333333	110.0	944.0	190	12.395975158295974	0	15	0.9
	MATTHEW		2016-10-06-11-00	24.46666666666667	-77.36666666666667	110.0	944.0	191	12.395975158295974	0	15	0.9
	MATTHEW		2016-10-06-12-00	24.6	-77.5	110.0	940.0	192	10.827543742448128	0	15	0.9
	MATTHEW		2016-10-06-13-00	24.76666666666667	-77.6	110.0	940.0	193	10.827543742448128	0	15	0.9
	MATTHEW		2016-10-06-14-00	24.933333333333337	-77.69999999999999	110.0	940.0	194	10.827543742448128	0	15	0.9
	MATTHEW		2016-10-06-15-00	25.1	-77.8	120.0	940.0	195	11.393721067061207	0	15	0.9
	MATTHEW		2016-10-06-16-00	25.3	-78.0	120.0	940.0	196	11.393721067061207	0	15	0.9
	MATTHEW		2016-10-06-17-00	25.5	-78.2	120.0	940.0	197	11.393721067061207	0	15	0.9
	MATTHEW		2016-10-06-18-00	25.7	-78.4	120.0	939.0	198	16.181998597448644	0	15	0.9
	MATTHEW		2016-10-06-19-00	25.866666666666667	-78.46666666666667	120.0	939.0	199	16.181998597448644	0	15	0.9
	MATTHEW		2016-10-06-20-00	26.03333333333333	-78.53333333333333	120.0	939.0	200	16.181998597448644	0	15	0.9
	MATTHEW		2016-10-06-21-00	26.2	-78.6	120.0	938.0	201	10.634311459902454	0	15	0.9
	MATTHEW		2016-10-06-22-00	26.333333333333332	-78.7	120.0	938.0	202	10.634311459902454	0	15	0.9
	MATTHEW		2016-10-06-23-00	26.46666666666667	-78.80000000000001	120.0	938.0	203	10.634311459902454	0	15	0.9
	MATTHEW		2016-10-07-00-00	26.6	-78.9	115.0	939.0	204	9.64406220083559	0	15	0.9
	MATTHEW		2016-10-07-01-00	26.76666666666667	-79.0	115.0	939.0	205	9.64406220083559	0	15	0.9
	MATTHEW		2016-10-07-02-00	26.933333333333337	-79.1	115.0	939.0	206	9.64406220083559	0	15	0.9
	MATTHEW		2016-10-07-03-00	27.1	-79.2	115.0	939.0	207	11.35031084078441	0	15	0.9
	MATTHEW		2016-10-07-04-00	27.26666666666667	-79.36666666666667	115.0	939.0	208	11.35031084078441	0	15	0.9
	MATTHEW		2016-10-07-05-00	27.433333333333337	-79.53333333333333	115.0	939.0	209	11.35031084078441	0	15	0.9
	MATTHEW		2016-10-07-06-00	27.6	-79.7	105.0	938.0	210	13.384070131397104	0	15	0.9
	MATTHEW		2016-10-07-07-00	27.8	-79.8	105.0	938.0	211	13.384070131397104	0	15	0.9
	MATTHEW		2016-10-07-08-00	28.0	-79.9	105.0	938.0	212	13.384070131397104	0	15	0.9
	MATTHEW		2016-10-07-09-00	28.2	-80.0	105.0	938.0	213	13.128188357092613	0	15	0.9
	MATTHEW		2016-10-07-10-00	28.433333333333334	-80.1	105.0	938.0	214	13.128188357092613	0	15	0.9
	MATTHEW		2016-10-07-11-00	28.666666666666664	-80.19999999999999	105.0	938.0	215	13.128188357092613	0	15	0.9
	MATTHEW		2016-10-07-12-00	28.9	-80.3	105.0	944.0	216	14.969252377612955	0	15	0.9
	MATTHEW		2016-10-07-13-00	29.066666666666666	-80.36666666666666	105.0	944.0	217	14.969252377612955	0	15	0.9
	MATTHEW		2016-10-07-14-00	29.233333333333334	-80.43333333333334	105.0	944.0	218	14.969252377612955	0	15	0.9
	MATTHEW		2016-10-07-15-00	29.4	-80.5	105.0	947.0	219	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-16-00	29.555555555555554	-80.52222222222223	105.0	947.0	220	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-17-00	29.71111111111111	-80.54444444444445	105.0	947.0	221	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-18-00	29.866666666666664	-80.56666666666668	105.0	947.0	222	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-19-00	30.02222222222222	-80.5888888888889	105.0	947.0	223	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-20-00	30.177777777777774	-80.61111111111113	105.0	947.0	224	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-21-00	30.33333333333333	-80.63333333333335	105.0	947.0	225	10.59976735517347	0	15	0.9
	MATTHEW		2016-10-07-22-00	30.488888888888887	-80.65555555555557	105.0	947.0	226	10.59976735517347	0	15	0.9
